Borough,CensusTract,MeanCommute,Transit,Income,Poverty,Unemployment,WorkAtHome
Manhattan,36061021200,31.4,65.1,52263,9.2,14.7,7.3
Manhattan,36061022400,37.0,73.6,25000,45.5,11.7,7.8
Manhattan,36061023200,37.7,71.7,28800,30.2,18.4,2.4
Manhattan,36061023900,42.8,64.1,41036,22.6,14.0,3.6
Manhattan,36061024100,35.0,56.7,47957,25.7,10.6,6.0
Manhattan,36061029300,42.9,63.6,32509,31.3,15.8,0.9
Bronx,36005012901,43.4,75.6,18269,48.9,14.1,5.8
Bronx,36005013000,39.2,30.4,77917,5.7,6.7,2.0
Bronx,36005036901,47.7,65.1,14821,53.3,20.7,6.5
Bronx,36005005600,40.0,65.0,17771,38.0,16.8,1.3
Bronx,36005002702,44.0,83.6,17147,52.7,10.6,0.5
Bronx,36005003300,42.5,68.4,19923,56.3,18.5,1.8
Bronx,36005007200,42.2,60.1,37634,33.4,7.4,2.3
Bronx,36005012101,46.4,77.7,27813,43.1,10.6,2.7
Bronx,36005012102,44.1,70.2,20028,49.6,17.7,0.0
Bronx,36005012300,43.3,69.6,21300,45.1,10.6,4.5
Bronx,36005013300,36.5,62.0,25282,25.5,15.0,2.1
Bronx,36005014300,39.7,73.1,12000,52.2,17.8,4.1
Bronx,36005014400,58.5,55.7,19418,46.4,19.7,0.4
Bronx,36005014500,52.4,69.0,22711,50.4,21.5,0.0
Bronx,36005016600,46.3,45.7,63421,10.2,9.1,5.7
Bronx,36005019400,43.5,39.2,51176,23.6,11.1,0.6
Bronx,36005021301,29.9,59.5,16378,48.2,13.3,6.3
Bronx,36005022901,36.3,63.7,24115,36.4,16.2,6.3
Bronx,36005013200,41.4,30.6,96701,7.0,7.5,0.0
Bronx,36005020100,37.9,63.2,24160,43.0,9.8,7.6
Bronx,36005039000,44.2,63.9,32364,37.4,26.5,0.0
Bronx,36005039300,43.2,61.0,20891,43.3,17.4,8.4
Bronx,36005040302,41.7,68.5,25724,35.3,13.3,5.7
Bronx,36005040400,41.6,48.0,36691,13.8,15.7,3.8
Bronx,36005040701,44.6,72.3,30354,36.5,9.8,1.2
Bronx,36005041500,42.3,72.7,42207,21.4,13.3,1.3
Bronx,36005043600,53.2,46.0,57564,14.2,10.0,2.3
Bronx,36005044800,49.0,43.1,78456,5.7,10.7,0.0
Bronx,36005051600,35.7,14.3,76771,4.0,7.4,4.6
Bronx,36005039200,53.9,59.5,39457,28.3,17.0,3.1
Bronx,36005038900,39.5,57.8,28240,48.0,14.5,4.4
Bronx,36005039100,40.8,57.1,30661,41.4,8.7,2.9
Bronx,36005039400,49.0,62.6,33708,31.7,16.7,3.1
Bronx,36005039800,41.3,32.1,70552,15.0,16.1,2.1
Bronx,36005041400,43.0,53.0,53750,12.8,19.2,1.2
Bronx,36005041800,43.3,50.0,37829,35.5,13.3,6.4
Bronx,36005042200,46.5,54.1,51701,11.7,13.7,0.0
Bronx,36005043000,38.2,49.1,52096,7.3,9.5,0.0
Bronx,36005043100,42.2,64.8,31028,30.1,12.5,3.5
Bronx,36005009200,48.4,67.9,35227,21.3,18.6,0.4
Bronx,36005012701,39.7,72.2,18641,49.4,9.0,0.5
Bronx,36005013500,41.6,68.2,23279,40.2,12.3,1.6
Bronx,36005013800,35.6,24.5,79773,5.5,7.9,2.2
Bronx,36005016100,44.0,69.8,12467,51.6,17.8,3.0
Bronx,36005019500,40.1,63.3,26706,34.4,15.0,7.2
Bronx,36005022902,40.3,64.2,24142,34.6,19.4,6.2
Bronx,36005023302,44.1,72.2,22566,50.1,14.0,7.5
Bronx,36005024400,41.6,41.8,59063,9.9,14.5,2.5
Bronx,36005026900,43.0,65.5,33365,34.8,16.1,1.6
Bronx,36005027300,44.5,67.5,42093,24.4,16.4,1.4
Bronx,36005029500,43.9,60.6,100750,5.9,5.0,3.9
Bronx,36005029700,45.7,42.9,93452,3.1,6.4,4.9
Bronx,36005031000,33.8,24.2,80724,11.0,7.1,3.4
Bronx,36005031600,36.7,34.1,70759,15.1,8.3,1.0
Bronx,36005031800,49.1,57.5,55739,12.7,13.8,4.2
Bronx,36005032300,44.2,45.2,87483,3.5,11.6,5.1
Bronx,36005032400,45.8,61.9,27946,33.1,9.4,1.0
Bronx,36005033400,39.9,53.2,45739,19.2,11.1,0.0
Bronx,36005036300,43.8,70.1,18499,48.7,27.2,0.0
Bronx,36005036902,52.4,67.3,25100,45.3,18.6,2.0
Bronx,36005037300,45.0,60.7,29033,37.3,13.6,4.0
Bronx,36005037800,40.4,59.2,35625,25.1,19.5,2.0
Bronx,36005037900,46.3,80.6,27841,43.1,16.9,1.3
Bronx,36005038700,34.3,46.1,19362,48.7,20.9,9.3
Bronx,36005039600,42.1,58.5,35221,27.8,18.7,3.2
Bronx,36005040100,44.5,71.0,33487,42.3,22.3,5.7
Bronx,36005040600,47.3,59.1,44773,26.7,7.1,2.9
Bronx,36005042300,42.6,58.0,31786,36.5,18.5,3.5
Bronx,36005042500,45.6,64.8,28643,35.1,19.1,7.3
Bronx,36005042901,45.0,70.1,39625,30.9,7.5,3.8
Bronx,36005044200,57.8,64.7,38603,26.5,14.1,1.1
Bronx,36005030100,42.1,36.2,76771,12.3,3.4,4.0
Manhattan,36061001001,31.3,52.6,73239,5.8,12.0,7.8
Manhattan,36061000700,24.9,62.3,117841,10.6,4.4,6.9
Manhattan,36061010300,22.4,47.8,94607,8.4,3.8,0.4
Bronx,36005016700,43.5,68.2,27222,43.8,15.5,2.7
Bronx,36005022401,43.3,71.1,43611,21.4,17.0,2.1
Bronx,36005002800,47.3,48.2,49529,8.5,12.8,2.7
Bronx,36005007900,41.1,71.0,24278,44.7,14.4,4.1
Bronx,36005015800,40.8,38.3,77045,11.5,7.5,3.2
Bronx,36005021800,43.6,56.6,37303,22.1,16.6,5.9
Bronx,36005033800,47.0,61.6,37043,33.4,18.4,2.8
Bronx,36005036502,41.0,77.7,19740,46.3,24.8,0.0
Bronx,36005016000,35.7,23.0,77216,3.3,6.9,4.1
Bronx,36005016200,36.2,32.3,70682,14.4,9.3,3.4
Bronx,36005016500,50.2,70.1,26645,33.9,11.0,3.7
Bronx,36005017500,39.3,65.0,22000,45.8,14.4,3.1
Bronx,36005021501,50.7,72.4,26076,38.1,12.9,2.3
Bronx,36005021502,38.3,67.2,18507,44.6,16.4,7.2
Bronx,36005023000,44.0,63.2,43929,23.5,15.3,4.5
Bronx,36005025300,44.8,71.7,30957,24.5,18.4,2.8
Bronx,36005026100,48.6,67.0,73688,8.0,6.5,1.3
Bronx,36005027900,47.2,66.3,55573,11.6,9.5,5.4
Bronx,36005030000,38.7,39.5,51806,11.1,5.7,4.0
Bronx,36005034000,43.0,55.9,34290,31.4,16.7,2.7
Bronx,36005034400,45.8,41.7,67813,14.6,13.0,1.3
Bronx,36005035000,41.3,40.1,52344,15.4,20.7,8.4
Bronx,36005036100,43.1,77.6,18799,44.6,36.2,2.8
Bronx,36005036501,45.2,72.4,21122,45.9,30.3,3.0
Manhattan,36061006600,27.8,49.3,64963,14.7,3.3,7.2
Manhattan,36061006800,22.7,56.9,109526,11.2,8.3,12.1
Manhattan,36061008200,24.1,30.1,107925,7.4,0.9,9.2
Manhattan,36061008400,19.9,35.8,120938,15.4,7.3,10.3
Manhattan,36061001600,29.4,52.9,31452,34.6,4.7,4.5
Manhattan,36061002800,33.8,61.7,30056,34.7,12.0,1.5
Manhattan,36061001300,22.8,59.4,123558,7.4,3.3,6.9
Manhattan,36061001402,32.8,71.4,24375,31.0,5.2,7.6
Manhattan,36061002201,36.4,75.1,34988,27.7,13.0,1.7
Manhattan,36061003001,28.8,64.4,62199,16.0,9.3,2.8
Manhattan,36061003100,23.5,54.9,183500,13.1,12.4,6.1
Manhattan,36061003400,30.0,55.5,67166,24.1,5.1,6.0
Bronx,36005020000,50.1,64.4,44771,27.4,14.7,3.5
Bronx,36005020501,39.1,64.6,23160,35.6,12.6,0.6
Bronx,36005020502,45.9,68.0,15343,43.0,7.9,2.8
Bronx,36005020900,38.3,65.8,27311,35.8,11.0,0.0
Bronx,36005021001,46.5,66.8,48396,14.5,11.6,1.1
Bronx,36005021002,49.0,66.6,43313,18.5,15.4,3.8
Bronx,36005021700,42.5,66.9,22721,51.1,14.3,4.3
Bronx,36005044901,47.2,45.4,67083,15.3,12.0,4.7
Bronx,36005046201,54.9,57.1,43205,6.9,11.8,1.2
Bronx,36005046202,48.5,57.9,40497,19.8,12.5,4.9
Bronx,36005022500,39.3,72.7,29302,36.1,15.6,1.0
Bronx,36005022800,44.3,60.0,45069,17.6,12.8,4.9
Bronx,36005023200,46.8,48.4,44318,23.4,17.6,2.2
Bronx,36005004600,33.7,47.1,40950,25.5,13.4,0.0
Bronx,36005006000,40.4,61.2,41190,35.2,11.1,4.7
Bronx,36005007000,45.4,72.5,34191,30.1,11.8,4.0
Bronx,36005007300,46.2,61.8,18358,50.7,20.2,12.0
